,Type,level,correct
0,1,0,165
1,10,0,165
2,2,1,160
3,2,2,155
4,2,3,150
5,2,4,141
6,3,1,160
7,3,2,160
8,3,3,155
9,3,4,135
10,4,1,154
11,4,2,127
12,4,3,100
13,4,4,76
14,5,1,85
15,5,2,29
16,5,3,6
17,5,4,1
18,6,1,149
19,6,2,147
20,6,3,131
21,6,4,131
22,7,1,118
23,7,2,88
24,7,3,48
25,7,4,23
26,8,1,102
27,8,2,98
28,8,3,102
29,8,4,91
30,9,1,90
31,9,2,61
32,9,3,34
33,9,4,11
34,11,1,163
35,11,2,160
36,11,3,161
37,11,4,148
38,12,1,153
39,12,2,149
40,12,3,136
41,12,4,113
42,13,1,150
43,13,2,119
44,13,3,92
45,13,4,70
46,14,1,61
47,14,2,23
48,14,3,6
49,14,4,0
50,15,1,149
51,15,2,139
52,15,3,131
53,15,4,119
54,16,1,122
55,16,2,64
56,16,3,21
57,16,4,17
58,17,1,73
59,17,2,77
60,17,3,70
61,17,4,55
62,18,1,60
63,18,2,27
64,18,3,10
65,18,4,1
