,Type,level,correct
0,1,0,157
1,10,0,160
2,2,1,162
3,2,2,153
4,2,3,145
5,2,4,133
6,3,1,137
7,3,2,137
8,3,3,143
9,3,4,130
10,4,1,142
11,4,2,119
12,4,3,84
13,4,4,65
14,5,1,41
15,5,2,2
16,5,3,3
17,5,4,1
18,6,1,142
19,6,2,143
20,6,3,132
21,6,4,128
22,7,1,110
23,7,2,64
24,7,3,33
25,7,4,17
26,8,1,79
27,8,2,84
28,8,3,70
29,8,4,61
30,9,1,89
31,9,2,46
32,9,3,26
33,9,4,0
34,11,1,162
35,11,2,162
36,11,3,162
37,11,4,144
38,12,1,135
39,12,2,138
40,12,3,143
41,12,4,128
42,13,1,140
43,13,2,112
44,13,3,79
45,13,4,58
46,14,1,19
47,14,2,3
48,14,3,4
49,14,4,10
50,15,1,146
51,15,2,141
52,15,3,126
53,15,4,119
54,16,1,109
55,16,2,55
56,16,3,19
57,16,4,6
58,17,1,60
59,17,2,57
60,17,3,57
61,17,4,50
62,18,1,57
63,18,2,18
64,18,3,7
65,18,4,0
