,Type,level,correct
0,1,0,130
1,10,0,125
2,2,1,109
3,2,2,80
4,2,3,59
5,2,4,39
6,3,1,163
7,3,2,155
8,3,3,138
9,3,4,119
10,4,1,102
11,4,2,52
12,4,3,34
13,4,4,25
14,5,1,43
15,5,2,28
16,5,3,16
17,5,4,10
18,6,1,115
19,6,2,108
20,6,3,105
21,6,4,106
22,7,1,54
23,7,2,28
24,7,3,11
25,7,4,2
26,8,1,77
27,8,2,65
28,8,3,66
29,8,4,54
30,9,1,5
31,9,2,0
32,9,3,0
33,9,4,0
34,11,1,109
35,11,2,86
36,11,3,61
37,11,4,33
38,12,1,159
39,12,2,150
40,12,3,139
41,12,4,123
42,13,1,104
43,13,2,55
44,13,3,36
45,13,4,28
46,14,1,44
47,14,2,27
48,14,3,19
49,14,4,10
50,15,1,113
51,15,2,98
52,15,3,98
53,15,4,96
54,16,1,51
55,16,2,28
56,16,3,13
57,16,4,4
58,17,1,74
59,17,2,61
60,17,3,63
61,17,4,54
62,18,1,1
63,18,2,0
64,18,3,0
65,18,4,0
