,Type,level,correct
0,1,0,156
1,10,0,158
2,2,1,151
3,2,2,141
4,2,3,127
5,2,4,140
6,3,1,151
7,3,2,153
8,3,3,147
9,3,4,136
10,4,1,124
11,4,2,81
12,4,3,60
13,4,4,44
14,5,1,49
15,5,2,24
16,5,3,18
17,5,4,10
18,6,1,119
19,6,2,97
20,6,3,84
21,6,4,86
22,7,1,104
23,7,2,72
24,7,3,47
25,7,4,28
26,8,1,81
27,8,2,88
28,8,3,78
29,8,4,66
30,9,1,78
31,9,2,46
32,9,3,27
33,9,4,4
34,11,1,155
35,11,2,151
36,11,3,151
37,11,4,141
38,12,1,148
39,12,2,154
40,12,3,148
41,12,4,144
42,13,1,124
43,13,2,79
44,13,3,58
45,13,4,31
46,14,1,44
47,14,2,13
48,14,3,6
49,14,4,8
50,15,1,117
51,15,2,102
52,15,3,84
53,15,4,76
54,16,1,91
55,16,2,58
56,16,3,25
57,16,4,12
58,17,1,53
59,17,2,67
60,17,3,56
61,17,4,47
62,18,1,36
63,18,2,12
64,18,3,0
65,18,4,0
