,Type,level,correct
0,1,0,173
1,10,0,169
2,2,1,165
3,2,2,164
4,2,3,171
5,2,4,171
6,3,1,164
7,3,2,159
8,3,3,149
9,3,4,129
10,4,1,157
11,4,2,139
12,4,3,105
13,4,4,85
14,5,1,91
15,5,2,23
16,5,3,3
17,5,4,0
18,6,1,160
19,6,2,145
20,6,3,136
21,6,4,132
22,7,1,121
23,7,2,72
24,7,3,46
25,7,4,24
26,8,1,100
27,8,2,103
28,8,3,97
29,8,4,80
30,9,1,59
31,9,2,37
32,9,3,14
33,9,4,0
34,11,1,168
35,11,2,167
36,11,3,164
37,11,4,159
38,12,1,153
39,12,2,147
40,12,3,137
41,12,4,109
42,13,1,160
43,13,2,119
44,13,3,90
45,13,4,79
46,14,1,58
47,14,2,17
48,14,3,5
49,14,4,24
50,15,1,166
51,15,2,148
52,15,3,137
53,15,4,118
54,16,1,111
55,16,2,49
56,16,3,20
57,16,4,6
58,17,1,86
59,17,2,88
60,17,3,84
61,17,4,64
62,18,1,39
63,18,2,16
64,18,3,6
65,18,4,0
