imageID,1,2,3,4,5
00000,Nature,Weather,Light,Fog,Outdoors
00001,Cone,,,,
00002,Sport,Sports,Team Sport,Team,Baseball
00003,Frying Pan,Wok,Weapon,Blade,Scissors
00004,Sphere,Toy,Figurine,Goblet,Glass
00005,Electronics,Phone,Mobile Phone,Cell Phone,Interior Design
00006,Flare,Light,Nature,Weather,Silhouette
00007,Phone,Cell Phone,Electronics,Mobile Phone,Computer
00008,Liquor,Beverage,Drink,Alcohol,Bottle
00009,Apparel,Clothing,Shoe,Footwear,Running Shoe
00010,Nature,Silhouette,Outdoors,Flare,Light
00011,Cone,,,,
00012,Sports,Team Sport,Team,Sport,Apparel
00013,Wok,Frying Pan,,,
00014,Toy,Figurine,Sphere,Bottle,Plant
00015,Cell Phone,Electronics,Mobile Phone,Phone,
00016,Tool,Brush,Toothbrush,,
00017,Mouse,Hardware,Computer,Electronics,Machine
00018,Bottle,Sphere,Jar,Lighting,
00019,Clothing,Apparel,Footwear,Shoe,Running Shoe
00020,Bag,Sphere,,,
00021,Cone,,,,
00022,Clothing,Apparel,Sports,Team Sport,Sport
00023,Wok,Frying Pan,Electronics,Mouse,Hardware
00024,Toy,Figurine,Sphere,Plant,Pottery
00025,Mobile Phone,Cell Phone,Electronics,Phone,Lighting
00026,Nature,Flare,Light,Weather,Outdoors
00027,Mobile Phone,Phone,Electronics,Cell Phone,Machine
00028,Bottle,Alcohol,Drink,Liquor,Beverage
00029,Nature,Weather,Outdoors,Fog,Mist
00030,Nature,Hardware,Computer,Electronics,Mouse
00031,Light,Triangle,,,
00032,Team,Sports,Team Sport,Sport,Baseball
00033,Pottery,Saucer,Art,Porcelain,Accessory
00034,Toy,Figurine,Invertebrate,Insect,Andrena
00035,Phone,Cell Phone,Mobile Phone,Electronics,Sphere
00036,Brush,Tool,Toothbrush,,
00037,Mouse,Hardware,Electronics,Computer,Machine
00038,Bottle,Sphere,Hornet,Andrena,Animal
00039,Apparel,Footwear,Clothing,Shoe,Running Shoe
00040,Hardware,Computer,Electronics,Mouse,Floor
00041,Food,Ketchup,,,
00042,Apparel,Clothing,Sport,Team,Team Sport
00043,Frying Pan,Wok,,,
00044,Clothing,Apparel,Accessory,Goggles,Accessories
00045,Mobile Phone,Cell Phone,Phone,Electronics,Word
00046,Tool,Brush,Toothbrush,,
00047,Electronics,Mobile Phone,Cell Phone,Phone,Calculator
00048,Sphere,Hole,Window,Light,
00049,Clothing,Apparel,Footwear,Shoe,Sneaker
00050,Electronics,Camera,Banister,Handrail,Wood
00051,Cone,Human,Person,,
00052,People,Human,Person,Sport,Team Sport
00053,Frying Pan,Wok,Sunglasses,Accessory,Accessories
00054,Toy,Figurine,Animal,Electronics,Bird
00055,Cell Phone,Electronics,Phone,Mobile Phone,Iphone
00056,Wood,Outdoors,Human,Person,Nature
00057,Electronics,Phone,Cell Phone,Mobile Phone,Human
00058,Food,Honey,Human,Person,Plant
