imageID,1,2,3,4,5
00000,Electronics,Camera,Screen,LCD Screen,Monitor
00001,Cone,,,,
00002,Sport,Team,Sports,Team Sport,Apparel
00003,Wok,Frying Pan,Food,Meal,Dish
00004,Toy,Figurine,,,
00005,Mobile Phone,Phone,Electronics,Cell Phone,Iphone
00006,Brush,Tool,Toothbrush,,
00007,Phone,Cell Phone,Mobile Phone,Electronics,Machine
00008,Bottle,Ketchup,Food,Seasoning,Medication
00009,Clothing,Apparel,Footwear,Shoe,Sneaker
00010,Nature,Fog,Smoke,,
00011,Cone,,,,
00012,Sphere,Apparel,Clothing,Sports,Sport
00013,Wok,Frying Pan,Accessory,Accessories,Sunglasses
00014,Figurine,Toy,,,
00015,Electronics,Cell Phone,Phone,Mobile Phone,
00016,Tool,Brush,Toothbrush,,
00017,Electronics,Remote Control,Scale,,
00018,Bottle,Food,Ketchup,Medication,Furniture
00019,Apparel,Clothing,Footwear,Shoe,Running Shoe
00020,Electronics,Camera,,,
00021,Cone,,,,
00022,Sport,Sports,Team Sport,Team,Clothing
00023,Frying Pan,Wok,,,
00024,Figurine,Toy,,,
00025,Mobile Phone,Cell Phone,Phone,Electronics,Iphone
00026,Tool,Brush,,,
00027,Electronics,Modem,Hardware,Router,
00028,Bottle,Ketchup,Food,Cabinet,Furniture
00029,Clothing,Apparel,Footwear,Shoe,Boot
00030,Nature,Outdoors,Adapter,White Board,Fog
00031,Cone,Triangle,,,
00032,Sphere,Clothing,Apparel,Ball,Sport
00033,Frying Pan,Wok,Food,Meal,Dish
00034,Toy,Figurine,,,
00035,Electronics,White Board,,,
00036,Brush,Tool,Toothbrush,,
00037,Scale,Electronics,,,
00038,Bottle,Liquor,Alcohol,Drink,Beverage
00039,Apparel,Clothing,Shoe,Footwear,Running Shoe
00040,Electronics,Camera,Digital Camera,Adapter,Video Camera
00041,Ketchup,Food,,,
00042,Apparel,Clothing,Team Sport,Sport,Team
00043,Wok,Frying Pan,,,
00044,Trademark,Logo,Symbol,Inflatable,Ball
00045,Phone,Electronics,Cell Phone,Mobile Phone,Wall
00046,Brush,Tool,Toothbrush,,
00047,Electronics,Mobile Phone,Phone,Cell Phone,Calculator
00048,Sphere,Medication,Pill,Building,Architecture
00049,Apparel,Clothing,Footwear,Shoe,Sneaker
00050,Electronics,Camera,Wood,Tire,Text
00051,Cone,Plant,Food,Carrot,Vegetable
00052,Team,Sports,Sport,Team Sport,Baseball
00053,Frying Pan,Wok,Sunglasses,Accessory,Accessories
00054,Toy,Clothing,Apparel,Furniture,Wood
00055,Phone,Mobile Phone,Cell Phone,Electronics,Iphone
00056,Tool,Brush,Toothbrush,Wood,Arrow
00057,Mobile Phone,Phone,Electronics,Cell Phone,Hand-Held Computer
00058,Food,Honey,Plant,Seasoning,Outdoors
00059,Apparel,Shoe,Clothing,Footwear,Sneaker
00060,Wood,Camera,Electronics,Leisure Activities,Text
00061,Cone,,,,
00062,Team,Team Sport,Sport,Sports,Softball
00063,Accessories,Sunglasses,Accessory,Wok,Frying Pan
00064,Toy,Wood,Electronics,Figurine,Video Gaming
00065,Electronics,Phone,Mobile Phone,Cell Phone,Iphone
00066,Brush,Tool,Text,Arrow,Symbol
00067,Phone,Electronics,Mobile Phone,Cell Phone,Mouse
00068,Food,Plant,Honey,Medication,
00069,Clothing,Footwear,Shoe,Apparel,Sneaker
00070,Electronics,Camera,Wood,Skin,
00071,Plant,Food,Vegetable,Carrot,Cone
00072,Sports,Sport,Team,Team Sport,Baseball
00073,Wok,Frying Pan,Hardware,Computer,Electronics
00074,Toy,Electronics,,,
00075,Electronics,Mobile Phone,Cell Phone,Phone,Iphone
00076,Wood,Plywood,Outdoors,Apparel,Clothing
00077,Electronics,Phone,Mobile Phone,Cell Phone,Monitor
00078,Food,Honey,Outdoors,Plant,Label
00079,Clothing,Apparel,Wristwatch,Footwear,Shoe
00080,Wood,Leisure Activities,Plywood,Guitar,Musical Instrument
00081,Food,Cone,,,
00082,Sport,Team,Team Sport,Sports,Softball
00083,Frying Pan,Wok,Accessories,Accessory,Sunglasses
00084,Toy,Wood,Electronics,Figurine,
00085,Phone,Electronics,Cell Phone,Mobile Phone,Iphone
00086,Symbol,Arrow,Text,,
00087,Hardware,Computer,Mouse,Electronics,Text
00088,Plant,Food,Outdoors,Honey,Seasoning
00089,Footwear,Shoe,Clothing,Apparel,Sneaker
00090,Wood,Box,Camera,Electronics,Plywood
00091,Wood,Plywood,Apparel,Clothing,Box
00092,Furniture,Apparel,Clothing,Box,Text
00093,Wok,Frying Pan,,,
00094,Toy,Furniture,Box,Drawer,
00095,Cell Phone,Mobile Phone,Electronics,Phone,Wood
00096,Wood,Tool,Furniture,Tabletop,Brush
00097,Mobile Phone,Cell Phone,Phone,Electronics,Weapon
