imageID,1,2,3,4,5
00000,Electronics,Camera,Screen,Video Camera,Display
00001,Cone,,,,
00002,Sports,Sport,Team,Team Sport,Softball
00003,Wok,Frying Pan,Dish,Meal,Food
00004,Toy,Figurine,Sphere,Glass,PEZ Dispenser
00005,Electronics,Phone,Mobile Phone,Cell Phone,Screen
00006,Nature,Outdoors,Fog,Smoke,Brush
00007,Hardware,Computer,Keyboard,Computer Keyboard,Electronics
00008,Bottle,Food,Ketchup,Cosmetics,Medication
00009,Clothing,Apparel,Footwear,Shoe,Sneaker
00010,Nature,Outdoors,Fog,Scenery,Landscape
00011,Cone,,,,
00012,Sport,Sports,Ball,Team Sport,Team
00013,Frying Pan,Wok,,,
00014,Toy,Figurine,Furniture,Animal,
00015,Jar,Vase,Pottery,Display,Electronics
00016,Nature,Outdoors,Tool,Brush,Outer Space
00017,Electronics,Phone,Cell Phone,Mobile Phone,
00018,Bottle,Food,Ketchup,Plant,Medication
00019,Clothing,Apparel,Footwear,Shoe,Running Shoe
00020,Electronics,Camera,Screen,Tape Player,
00021,Cone,,,,
00022,Sport,Sports,Team Sport,Team,Softball
00023,Chair,Furniture,Pottery,Electronics,Appliance
00024,Toy,Figurine,Glass,,
00025,Phone,Cell Phone,Electronics,Mobile Phone,Jar
00026,Nature,Outdoors,Tool,Brush,Animal
00027,Electronics,Hardware,Computer,Mouse,Keyboard
00028,Bottle,Food,Ketchup,Cosmetics,
00029,Clothing,Apparel,Footwear,Shoe,Sneaker
00030,Nature,Outdoors,Transportation,Vehicle,Automobile
00031,Cone,Food,,,
00032,Ball,Sphere,Sports,Sport,Outdoors
00033,Frying Pan,Wok,Pottery,Meal,Dish
00034,Toy,Figurine,,,
00035,Mobile Phone,Cell Phone,Phone,Electronics,White Board
00036,Nature,Outdoors,Tool,Brush,Bird
00037,Electronics,Phone,Computer,Hardware,Mouse
00038,Bottle,Food,Seasoning,Syrup,Cosmetics
00039,Shoe,Clothing,Apparel,Footwear,Sneaker
00040,Camera,Electronics,Digital Camera,,
00041,Ketchup,Food,Paint Container,,
00042,Ball,Text,Word,Wall,Autograph
00043,Frying Pan,Wok,Tape,,
00044,Toy,Plastic,Rattle,PEZ Dispenser,
00045,Mobile Phone,Cell Phone,Electronics,Phone,Monitor
00046,Brush,Tool,Toothbrush,,
00047,Mobile Phone,Phone,Electronics,Cell Phone,Calculator
00048,Medication,Pill,Capsule,,
00049,Apparel,Clothing,Footwear,Shoe,Sneaker
00050,Electronics,Camera,Screen,Monitor,Display
00051,Cone,,,,
00052,Team Sport,Team,Sport,Sports,Baseball
00053,Wok,Frying Pan,Accessory,Accessories,Sunglasses
00054,Toy,Figurine,Sphere,Animal,
00055,Screen,Electronics,Display,Monitor,Phone
00056,Symbol,Arrow,Wood,,
00057,Electronics,Phone,Cell Phone,Mobile Phone,Hardware
00058,Food,Ketchup,Seasoning,Syrup,Honey
00059,Apparel,Clothing,Shoe,Footwear,Sneaker
00060,Lighting,Electronics,Screen,Display,Monitor
00061,Cone,,,,
00062,Team Sport,Team,Sport,Sports,Ball
00063,Wok,Frying Pan,Smoke Pipe,Accessory,Accessories
00064,Toy,Figurine,PEZ Dispenser,,
00065,Mobile Phone,Electronics,Phone,Cell Phone,Display
00066,Brush,Tool,,,
00067,Electronics,Phone,Cell Phone,Mobile Phone,Display
00068,Plant,Bottle,Furniture,Food,Ketchup
00069,Footwear,Apparel,Shoe,Clothing,Sneaker
00070,Electronics,Camera,Wood,Digital Camera,
00071,Cone,Plant,Food,Vegetable,Carrot
00072,Sports,Team,Team Sport,Sport,Softball
00073,Frying Pan,Wok,,,
00074,Toy,Figurine,,,
00075,Mobile Phone,Electronics,Phone,Cell Phone,Computer
00076,Wood,Plywood,Text,,
00077,Electronics,Screen,Monitor,Display,Computer
00078,Ketchup,Food,Bottle,Beverage,Drink
00079,Clothing,Apparel,Electronics,Shoe,Footwear
00080,Phone,Cell Phone,Mobile Phone,Electronics,Text
00081,Fire,Cone,Flame,,
00082,Sport,Team,Sports,Team Sport,Sphere
00083,Frying Pan,Wok,Spoon,Cutlery,
00084,Toy,Figurine,Electronics,,
00085,Phone,Mobile Phone,Electronics,Cell Phone,Iphone
00086,Brush,Tool,Screen,Display,Electronics
00087,Electronics,Phone,Mobile Phone,Cell Phone,Mouse
00088,Bottle,Beverage,Drink,Food,Plant
00089,Apparel,Shoe,Footwear,Clothing,Sneaker
00090,Electronics,Camera,Wood,Hardwood,Plywood
00091,Wood,Plywood,Hardwood,,
00092,Furniture,Ball,Text,Rug,Cabinet
00093,Frying Pan,Wok,Tape,,
00094,Toy,Wood,Indoors,Hardwood,Room
00095,Cell Phone,Phone,Mobile Phone,Electronics,Iphone
00096,Brush,Tool,Wood,,
00097,Cell Phone,Phone,Electronics,Mobile Phone,Calculator
00098,Wood,Furniture,Tabletop,Hardwood,Cabinet
00099,Apparel,Clothing,Footwear,Shoe,Sneaker
00100,Electronics,Camera,Display,Screen,Monitor
00101,Cone,,,,
