imageID,1,2,3,4,5
00000,Camera,Electronics,Nature,Outdoors,Fog
00001,Cone,,,,
00002,Sport,Team Sport,Team,Sports,Baseball
00003,Wok,Frying Pan,,,
00004,Figurine,Toy,,,
00005,Phone,Mobile Phone,Cell Phone,Electronics,Iphone
00006,Brush,Tool,,,
00007,Electronics,Computer,Hardware,Computer Hardware,Computer Keyboard
00008,Bottle,Ink Bottle,,,
00009,Apparel,Clothing,Footwear,Shoe,Sneaker
00010,Nature,Outdoors,Fog,Smoke,Weather
00011,Cone,,,,
00012,Sphere,Apparel,Clothing,Sport,Sports
00013,Wok,Frying Pan,,,
00014,Figurine,Toy,,,
00015,Electronics,Phone,Mobile Phone,Cell Phone,
00016,Tool,Brush,Toothbrush,,
00017,Remote Control,Electronics,Phone,Keyboard,
00018,Bottle,Ink Bottle,,,
00019,Apparel,Clothing,Footwear,Shoe,Running Shoe
00020,Electronics,Camera,,,
00021,Nature,Outdoors,Fog,Cone,Apparel
00022,Clothing,Apparel,Team Sport,Team,Sport
00023,Frying Pan,Wok,,,
00024,Figurine,Toy,Art,Sculpture,Statue
00025,Mobile Phone,Cell Phone,Electronics,Phone,Iphone
00026,Brush,Tool,Toothbrush,,
00027,Electronics,Hardware,Modem,Router,Hub
00028,Bottle,Ink Bottle,Camera,Electronics,
00029,Clothing,Apparel,Footwear,Shoe,Boot
00030,Nature,Outdoors,Fog,Smoke,Smog
00031,Nature,Fog,Outdoors,Weather,Smoke
00032,Clothing,Apparel,Sphere,Sports,Sport
00033,Frying Pan,Wok,Pottery,Food,Meal
00034,Toy,Figurine,Furniture,,
00035,Phone,Cell Phone,Electronics,Mobile Phone,Adapter
00036,Brush,Tool,Comb,,
00037,Electronics,Calculator,,,
00038,Bottle,Ink Bottle,,,
00039,Clothing,Apparel,Shoe,Footwear,Running Shoe
00040,Camera,Electronics,Digital Camera,Video Camera,Wall
00041,Nature,Sphere,Clothing,Apparel,Photography
00042,Apparel,Clothing,Sports,Team,Team Sport
00043,Wok,Frying Pan,,,
00044,Bottle,Coffee Cup,Cup,,
00045,Electronics,Phone,Cell Phone,Mobile Phone,Iphone
00046,Tool,Brush,Toothbrush,,
00047,Cell Phone,Phone,Mobile Phone,Electronics,Calculator
00048,Washer,Appliance,Hole,Dishwasher,
00049,Clothing,Apparel,Footwear,Shoe,Sneaker
00050,Camera,Electronics,Wood,Video Camera,
00051,Cone,Clothing,Apparel,Triangle,
00052,Team,Sports,Team Sport,Sport,Baseball
00053,Wok,Frying Pan,Cutlery,Spoon,Pottery
00054,Figurine,Toy,Furniture,Tabletop,
00055,Display,Electronics,Monitor,Screen,Mobile Phone
00056,Tool,Brush,Toothbrush,,
00057,Electronics,Phone,Mobile Phone,Cell Phone,Calculator
00058,Furniture,Cabinet,Tabletop,Bottle,Finger
00059,Shoe,Clothing,Footwear,Apparel,Sneaker
00060,Finger,Text,,,
00061,Cone,Triangle,,,
00062,Sports,Sport,Team Sport,Team,Clothing
00063,Spoon,Cutlery,Frying Pan,Wok,
00064,Figurine,Toy,Electronics,,
