imageID,1,2,3,4,5
00000,Lighting,Spotlight,LED,Light,Flare
00001,Cone,Shoe,Clothing,Apparel,Footwear
00002,Lighting,Sports,Sport,Team,Team Sport
00003,Wok,Frying Pan,Accessories,Accessory,Sunglasses
00004,Lighting,Hydrant,Fire Hydrant,Lamp,Spotlight
00005,Lighting,Spotlight,LED,,
00006,Lighting,Spotlight,LED,Stage,Light
00007,Lighting,Light,LED,Spotlight,Nature
00008,Lighting,Bottle,Face,Spotlight,LED
00009,Apparel,Clothing,Shoe,Footwear,Sneaker
00010,Lighting,LED,Spotlight,Hand,Light
00011,Cone,Apparel,Shoe,Footwear,Clothing
00012,Lighting,Sports,Team Sport,Team,Sport
00013,Frying Pan,Wok,Smoke Pipe,,
00014,Lighting,Hydrant,Fire Hydrant,Electronics,Spotlight
00015,Lighting,Electronics,LED,Spotlight,Phone
00016,Brush,Tool,Toothbrush,Lighting,
00017,Lighting,Electronics,Hand,Hardware,Mouse
00018,Lighting,Bottle,Ink Bottle,,
00019,Clothing,Apparel,Footwear,Shoe,Running Shoe
00020,Lighting,LED,Spotlight,Light,
00021,Lighting,Shoe,Apparel,Footwear,Clothing
00022,Lighting,Sphere,Team Sport,Sports,Sport
00023,Wok,Frying Pan,,,
00024,Lighting,Fire Hydrant,Hydrant,Silhouette,Figurine
00025,Lighting,Spotlight,LED,Cell Phone,Electronics
00026,Lighting,Spotlight,LED,Light,Flare
00027,Lighting,Automobile,Vehicle,Car,Transportation
00028,Lighting,Bottle,,,
00029,Lighting,Light,Electronics,Photography,Photo
00030,Lighting,Spotlight,LED,Light,Flare
00031,Lighting,Spotlight,LED,Game,Chess
00032,Lighting,Sport,Team,Sports,Team Sport
00033,Frying Pan,Wok,Accessory,Accessories,Sunglasses
00034,Electronics,Fire Hydrant,Hydrant,Figurine,Tabletop
00035,Lighting,Spotlight,LED,Electronics,
00036,Lighting,Brush,Tool,Toothbrush,Art
00037,Lighting,Light,Mouse,Electronics,Hardware
00038,Lighting,LED,Spotlight,Lamp,Photography
00039,Footwear,Apparel,Shoe,Clothing,Running Shoe
00040,Furniture,Pill,Medication,Skin,Capsule
00041,Clothing,Apparel,Silhouette,Hat,Photo
00042,Sphere,Team,Sport,Sports,Team Sport
00043,Frying Pan,Wok,Hair Drier,Dryer,Appliance
00044,Electronics,Video Gaming,Lens Cap,,
00045,Electronics,Phone,Cell Phone,Mobile Phone,Word
00046,Brush,Tool,Cosmetics,,
00047,Cell Phone,Electronics,Mobile Phone,Phone,Calculator
00048,Sphere,Green,,,
00049,Apparel,Clothing,Footwear,Shoe,Sneaker
00050,Electronics,Camera,Tire,,
00051,Cone,Triangle,Tree,Abies,Plant
00052,Sphere,Sport,Team Sport,Team,Sports
00053,Frying Pan,Wok,Spoon,Cutlery,Sunglasses
00054,Figurine,Toy,,,
00055,Cell Phone,Electronics,Phone,Mobile Phone,Iphone
00056,Tool,Brush,Toothbrush,,
00057,Electronics,Phone,Mobile Phone,Cell Phone,Hand-Held Computer
