imageID,1,2,3,4,5
00000,Nature,Outdoors,Snow,Weather,Storm
00001,Cone,,,,
00002,Team,Sports,Sport,Team Sport,Softball
00003,Frying Pan,Wok,Pottery,,
00004,Toy,Trophy,Figurine,Sphere,Goblet
00005,Electronics,Cell Phone,Phone,Mobile Phone,LCD Screen
00006,Cutlery,Fork,Arrow,Symbol,Brush
00007,Cell Phone,Electronics,Mobile Phone,Phone,LCD Screen
00008,Bottle,Beverage,Liquor,Alcohol,Drink
00009,Clothing,Apparel,Footwear,Shoe,Sneaker
00010,Nature,Vehicle,Transportation,Automobile,Car
00011,Cone,,,,
00012,Team,Sport,Team Sport,Sports,Softball
00013,Frying Pan,Wok,Spoon,Cutlery,Pot
00014,Toy,Figurine,Trophy,,
00015,Phone,Mobile Phone,Electronics,Cell Phone,Screen
00016,Brush,Tool,Toothbrush,,
00017,Electronics,Phone,Cell Phone,Mobile Phone,Remote Control
00018,Drink,Beverage,Alcohol,Liquor,Bottle
00019,Clothing,Apparel,Shoe,Footwear,Sneaker
00020,Camera,Electronics,Phone,Mobile Phone,Cell Phone
00021,Cone,,,,
00022,Team Sport,Team,Sport,Sports,Clothing
00023,Wok,Frying Pan,Pot,Pottery,
00024,Toy,Figurine,Glass,Goblet,Sphere
00025,Phone,Electronics,Mobile Phone,Cell Phone,Iphone
00026,Symbol,Arrow,Plant,,
00027,Automobile,Car,Vehicle,Transportation,Machine
00028,Drink,Alcohol,Liquor,Beverage,Bottle
00029,Shoe,Apparel,Footwear,Clothing,Nature
00030,Nature,Outdoors,Snow,Ice,Transportation
00031,Cone,Incense,,,
00032,Apparel,Clothing,Sports,Sport,Team Sport
00033,Frying Pan,Wok,Spoon,Cutlery,
00034,Toy,Sphere,Figurine,,
00035,Cell Phone,Electronics,Mobile Phone,Phone,Screen
00036,Tool,Brush,Comb,,
00037,Mobile Phone,Cell Phone,Electronics,Phone,Scale
00038,Beverage,Alcohol,Drink,Liquor,Bottle
00039,Clothing,Apparel,Footwear,Shoe,Running Shoe
00040,Electronics,Hardware,Vehicle,Automobile,Car
00041,Invertebrate,Seashell,Animal,Sea Life,Clam
00042,Sport,Team Sport,Sports,Team,Apparel
00043,Frying Pan,Wok,Toilet,Room,Indoors
00044,Tub,Bathtub,Snake,Reptile,Animal
00045,Phone,Electronics,Mobile Phone,Cell Phone,Iphone
00046,Brush,Tool,Toothbrush,,
00047,Electronics,Phone,Mobile Phone,Cell Phone,Calculator
00048,Hole,Sphere,Glass,Medication,Pill
00049,Clothing,Apparel,Footwear,Shoe,Sneaker
00050,Electronics,Camera,Person,Human,Wheel
00051,Cone,Plant,Footwear,Clothing,Apparel
00052,Sport,Sports,Team Sport,Team,Baseball
