imageID,1,2,3,4,5
00000,Camera,Electronics,,,
00001,Cone,,,,
00002,Team,Team Sport,Sports,Sport,Softball
00003,Frying Pan,Wok,,,
00004,Toy,Figurine,Electronics,,
00005,Mobile Phone,Cell Phone,Phone,Electronics,Adapter
00006,Tool,Brush,Toothbrush,,
00007,Electronics,,,,
00008,Bottle,Ink Bottle,Cabinet,Furniture,
00009,Clothing,Apparel,Shoe,Footwear,Sneaker
00010,Grenade,Weapon,Weaponry,Bomb,Adapter
00011,Cone,,,,
00012,Sports,Team,Team Sport,Sport,Apparel
00013,Wok,Frying Pan,,,
00014,Electronics,Joystick,,,
00015,Appliance,Dishwasher,Electronics,,
00016,Brush,Tool,Toothbrush,,
00017,Electronics,Computer,Appliance,Keyboard,Phone
00018,Bottle,Ink Bottle,Cabinet,Furniture,
00019,Apparel,Clothing,Shoe,Footwear,Running Shoe
00020,Electronics,Camera,,,
00021,Cone,Nature,Outdoors,Fog,
00022,Team Sport,Sports,Sport,Team,Softball
00023,Wok,Frying Pan,,,
00024,Figurine,Archaeology,,,
00025,Electronics,Cell Phone,Phone,Mobile Phone,Appliance
00026,Brush,Tool,Symbol,Arrow,
00027,Electronics,Projector,Hardware,,
00028,Bottle,Ink Bottle,,,
00029,Clothing,Apparel,Footwear,Boot,Shoe
00030,,,,,
00031,Nature,Outdoors,Fog,Weather,Chess
00032,Team,Team Sport,Sports,Sport,Softball
00033,Wok,Frying Pan,Appliance,,
00034,Electronics,Figurine,,,
00035,Appliance,Electronics,Dishwasher,,
00036,Tool,Brush,Appliance,Comb,
00037,Electronics,Furniture,Table,Phone,Mat
00038,Bottle,Ink Bottle,,,
00039,Apparel,Clothing,Footwear,Shoe,Running Shoe
00040,Electronics,Face,Adapter,Camera,
00041,Clothing,Apparel,Text,Animal,Sea Life
00042,Sport,Team,Team Sport,Sports,Baseball
00043,Wok,Frying Pan,,,
00044,Bottle,Ink Bottle,,,
00045,Phone,Electronics,Cell Phone,Mobile Phone,Gray
00046,Cosmetics,Mascara,Brush,Tool,
00047,Electronics,Calculator,Mobile Phone,Cell Phone,Phone
00048,Electrical Device,Appliance,Dishwasher,,
00049,Apparel,Clothing,Footwear,Shoe,Sneaker
00050,Electronics,Camera,Weaponry,Weapon,Grand Theft Auto
00051,Transportation,Airplane,Vehicle,Aircraft,Warplane
00052,,,,,
00053,Wok,Frying Pan,,,
00054,Animal,Mammal,Pet,,
00055,Gray,Fog,Nature,,
00056,,,,,
00057,Electronics,Computer Keyboard,Hardware,Computer,Keyboard
00058,Text,Symbol,Face,,
00059,Clothing,Apparel,Shoe,Footwear,Sneaker
00060,Nature,Fog,Smoke,,
00061,Nature,Outdoors,Silhouette,Fog,Flare
00062,,,,,
00063,Wok,Frying Pan,Cutlery,Spoon,
00064,Silhouette,Winter,Nature,Snow,Outdoors
00065,Electronics,Gray,,,
00066,Ct Scan,X-Ray,Medical Imaging X-Ray Film,,
00067,Phone,Electronics,Remote Control,,
00068,Text,Face,,,
00069,Apparel,Clothing,Shoe,Footwear,Sneaker
00070,Briefcase,Bag,Electronics,Camera,
00071,Nature,Outdoors,Fog,Silhouette,Weather
00072,,,,,
00073,Wok,Frying Pan,Pot,,
00074,Nature,Winter,Snowman,Outdoors,Snow
00075,Electronics,,,,
00076,,,,,
00077,Nature,Fog,Furniture,,
00078,Face,Photo,Photography,,
00079,Clothing,Apparel,Footwear,Shoe,Crash Helmet
00080,,,,,
00081,Nature,Outdoors,Weather,Fog,Water
00082,,,,,
00083,Wok,Frying Pan,Cutlery,,
00084,Silhouette,Text,Photo,Photography,Nature
00085,Phone,Cell Phone,Electronics,Mobile Phone,
00086,Ct Scan,Medical Imaging X-Ray Film,X-Ray,,
00087,Electronics,Phone,Cell Phone,Mobile Phone,Dial Telephone
00088,Face,Text,Photo,Photography,
00089,Apparel,Clothing,Footwear,Shoe,Sneaker
00090,Road,Electronics,Camera,Vehicle,Transportation
00091,Ceiling Fan,Appliance,Apparel,Clothing,
00092,Sports,Team,Sport,Team Sport,Softball
00093,Wok,Frying Pan,,,
00094,Furniture,Text,,,
00095,Mobile Phone,Cell Phone,Electronics,Phone,Machine
00096,Building,Brush,Tool,Text,Symbol
00097,Mobile Phone,Phone,Electronics,Cell Phone,Calculator
00098,Furniture,Cabinet,Dresser,Drawer,
00099,Clothing,Apparel,Shoe,Footwear,Sneaker
00100,Electronics,Camera,Leisure Activities,Weaponry,Weapon
00101,Weaponry,Weapon,Knife,Blade,Mirror
00102,Electronics,Phone,Weaponry,Weapon,Cell Phone
00103,Wok,Frying Pan,,,
00104,Snowman,Nature,Outdoors,Winter,Snow
00105,Weapon,Weaponry,Electronics,Phone,Cell Phone
00106,Weaponry,Weapon,Blade,Knife,Gun
00107,Lamp,Table Lamp,Hardware,Computer,Electronics
00108,Weapon,Weaponry,Knife,Blade,
00109,Clothing,Apparel,Shoe,Footwear,Sneaker
00110,Adapter,Electronics,Leisure Activities,Screen,
00111,,,,,
00112,Bowl,Meal,Food,Dish,Electronics
00113,Frying Pan,Wok,,,
00114,Furniture,Chair,Symbol,Text,Nature
00115,Electronics,Car Mirror,Mirror,,
00116,Housing,Building,,,
00117,Electronics,Phone,,,
00118,Skateboard,Sports,Sport,Bottle,Photography
00119,Apparel,Clothing,Footwear,Shoe,Sneaker
00120,Camera,Electronics,Screen,,
00121,Vehicle,Transportation,Airplane,Aircraft,Mirror
00122,Oven,Appliance,Meal,Dish,Food
00123,Wok,Frying Pan,,,
00124,Weaponry,Weapon,Blade,Knife,Letter Opener
00125,Mobile Phone,Phone,Cell Phone,Electronics,Weaponry
00126,Weapon,Weaponry,Blade,Brush,Tool
00127,Electronics,Appliance,Screen,Stereo,Keyboard
00128,Sport,Sports,Skateboard,Photo,Photography
00129,Weaponry,Weapon,Gun,,
00130,Tabletop,Furniture,Electronics,Screen,Monitor
00131,Weapon,Weaponry,Blade,Knife,Letter Opener
00132,Oven,Appliance,,,
00133,Wok,Frying Pan,,,
00134,Symbol,Winter,Outdoors,Snowman,Snow
00135,Electronics,Camera,Car Mirror,Mirror,Screen
00136,Weapon,Weaponry,Tool,Brush,Blade
00137,Electronics,Phone,Cell Phone,Mobile Phone,Calculator
00138,Table,Furniture,Bottle,Beverage,Drink
00139,Apparel,Clothing,Footwear,Shoe,Sneaker
00140,Electronics,Camera,Stereo,,
00141,Electronics,Screen,Interior Design,Indoors,Monitor
00142,Sphere,Outdoors,Nature,Text,Astronomy
00143,Wok,Frying Pan,,,
00144,Text,Electronics,Face,Screen,
00145,Electronics,Mobile Phone,Cell Phone,Phone,
00146,Tool,Brush,Cosmetics,Silhouette,Mascara
00147,Electronics,Calculator,Weaponry,Weapon,Mobile Phone
00148,Gray,,,,
00149,Clothing,Apparel,Footwear,Shoe,Sneaker
00150,Appliance,Dishwasher,Camera,Electronics,
00151,Cone,,,,
00152,Appliance,Sink,Dishwasher,Gray,Double Sink
00153,Wok,Frying Pan,,,
00154,Electronics,,,,
00155,Cell Phone,Electronics,Mobile Phone,Phone,Appliance
00156,Tool,Brush,,,
00157,Electronics,Appliance,Computer,Dishwasher,
00158,Bottle,Ink Bottle,Furniture,Cabinet,
00159,Clothing,Apparel,Footwear,Shoe,Sneaker
00160,Appliance,Dishwasher,,,
00161,Cone,City,Metropolis,Building,Town
00162,Appliance,Dishwasher,Refrigerator,,
00163,Wok,Frying Pan,,,
00164,Electronics,Joystick,,,
00165,Appliance,Dishwasher,Electronics,Gray,
00166,Brush,Tool,Toothbrush,,
00167,Appliance,Electronics,Dishwasher,Computer,
00168,Bottle,Ink Bottle,Cabinet,Furniture,
