imageID,1,2,3,4,5
00000,Electronics,Camera,Video Camera,Display,LCD Screen
00001,Cone,,,,
00002,Clothing,Apparel,Sports,Team Sport,Sport
00003,Wok,Frying Pan,Food,Meal,Dish
00004,Toy,Figurine,,,
00005,Electronics,Mobile Phone,Phone,Cell Phone,Iphone
00006,Fork,Cutlery,Tool,Brush,Toothbrush
00007,Electronics,Cell Phone,Mobile Phone,Phone,Spoke
00008,Bottle,Cosmetics,,,
00009,Clothing,Apparel,Shoe,Footwear,Running Shoe
00010,Nature,Outdoors,Fog,Smoke,Weather
00011,Cone,,,,
00012,Sphere,Apparel,Clothing,Sport,Sports
00013,Wok,Frying Pan,,,
00014,Toy,Figurine,,,
00015,Cell Phone,Phone,Mobile Phone,Electronics,
00016,Tool,Brush,Toothbrush,,
00017,Remote Control,Electronics,Cell Phone,Phone,Mobile Phone
00018,Bottle,Food,Cosmetics,Medication,
00019,Apparel,Clothing,Footwear,Shoe,Running Shoe
00020,Electronics,Camera,Cassette Player,Tape Player,
00021,Cone,,,,
00022,Clothing,Apparel,Sports,Team Sport,Team
00023,Wok,Frying Pan,Mouse,Computer,Hardware
00024,Toy,Figurine,,,
00025,Mobile Phone,Electronics,Phone,Cell Phone,Iphone
00026,Tool,Brush,Cutlery,,
00027,Electronics,Hardware,Modem,Tire,
00028,Bottle,Ketchup,Food,Medication,Cabinet
00029,Apparel,Clothing,Footwear,Shoe,Boot
00030,Nature,Outdoors,Fog,Smoke,Text
00031,Cone,Triangle,,,
00032,Sphere,Clothing,Apparel,Ball,Sports
00033,Frying Pan,Wok,Meal,Food,Dish
00034,Toy,Figurine,,,
00035,Cell Phone,Mobile Phone,Phone,Electronics,
00036,Brush,Tool,Toothbrush,,
00037,Electronics,Hardware,Computer,Mouse,
00038,Bottle,Plant,Food,Alcohol,Liquor
00039,Apparel,Clothing,Shoe,Footwear,Running Shoe
00040,Camera,Electronics,Digital Camera,Video Camera,
00041,Ketchup,Food,,,
00042,Apparel,Clothing,Sport,Team,Team Sport
00043,Wok,Frying Pan,,,
00044,Toy,Inflatable,Wood,Ball,Shelf
00045,Electronics,Mobile Phone,Phone,Cell Phone,Iphone
00046,Tool,Brush,Toothbrush,,
00047,Electronics,Mobile Phone,Phone,Cell Phone,Calculator
00048,Sphere,Medication,Pill,,
00049,Clothing,Apparel,Footwear,Shoe,Sneaker
00050,Wood,Camera,Electronics,Hardwood,Plywood
00051,Cone,Wood,Plywood,,
00052,Sports,Team Sport,Team,Sport,Baseball
00053,Frying Pan,Wok,,,
00054,Toy,Wood,Furniture,Figurine,Apparel
00055,Electronics,Mobile Phone,Phone,Cell Phone,Iphone
00056,Brush,Tool,Toothbrush,Wood,Cutlery
00057,Phone,Mobile Phone,Electronics,Cell Phone,Wood
00058,Food,Honey,Plant,Seasoning,
00059,Clothing,Footwear,Shoe,Apparel,Running Shoe
00060,Wood,Plywood,Electronics,Camera,Text
00061,Cone,,,,
00062,Clothing,Apparel,Sphere,Team,Sport
00063,Frying Pan,Wok,Sunglasses,Accessories,Accessory
00064,Toy,Wood,Figurine,Electronics,Hardwood
00065,Mobile Phone,Phone,Electronics,Cell Phone,Text
00066,Text,Brush,Tool,Spiral,Coil
00067,Phone,Electronics,Cell Phone,Mobile Phone,Remote Control
00068,Plant,Food,Honey,Wood,Produce
00069,Clothing,Apparel,Shoe,Footwear,Running Shoe
00070,Wood,Electronics,Camera,Hardwood,Plywood
00071,Plant,Cone,Food,Carrot,Vegetable
00072,Clothing,Apparel,Sphere,Sports,Team Sport
00073,Wok,Frying Pan,Hardware,Electronics,Mouse
00074,Toy,Electronics,Wood,Figurine,
00075,Electronics,Mobile Phone,Phone,Cell Phone,Iphone
00076,Wood,Plywood,Hardwood,Clothing,Apparel
00077,Electronics,Phone,Cell Phone,Mobile Phone,Machine
00078,Food,Honey,Plant,Outdoors,Liquor
00079,Apparel,Clothing,Footwear,Shoe,Running Shoe
00080,Wood,Plywood,Hardwood,Tire,Text
00081,Food,Cone,,,
00082,Clothing,Apparel,Sports,Team,Team Sport
00083,Wok,Frying Pan,Spoon,Cutlery,Accessories
00084,Toy,Wood,Figurine,Tabletop,Furniture
00085,Mobile Phone,Cell Phone,Electronics,Phone,Wood
00086,Arrow,Symbol,Wood,Plywood,Text
00087,Mobile Phone,Phone,Electronics,Cell Phone,Text
00088,Food,Plant,Honey,Wood,Outdoors
00089,Apparel,Clothing,Shoe,Footwear,Running Shoe
00090,Wood,Plywood,Camera,Electronics,Box
00091,Wood,Plywood,Clothing,Apparel,Furniture
